,produto,preco-antigo,preco-atual,link
0,Smart Tv LG Ai Thinq 32lm621cbsb Led Hd 32  100v/240v,R$ 1.599,R$ 1.449,https://produto.mercadolivre.com.br/MLB-1697389880-smart-tv-lg-ai-thinq-32lm621cbsb-led-hd-32-100v240v-_JM?hide_psmb=true#reco_item_pos=0&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
1,Samsung Galaxy M21s Dual Sim 64 Gb Preto 4 Gb Ram,R$ 1.381,R$ 1.324,https://produto.mercadolivre.com.br/MLB-1772063061-samsung-galaxy-m21s-dual-sim-64-gb-preto-4-gb-ram-_JM?hide_psmb=true#reco_item_pos=1&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
2,Tablet  Samsung Galaxy Tab A 2019 Sm-t295 8  32gb Black Com 2gb De Memória Ram,R$ 1.149,R$ 999,https://produto.mercadolivre.com.br/MLB-1738348205-tablet-samsung-galaxy-tab-a-2019-sm-t295-8-32gb-black-com-2gb-de-memoria-ram-_JM?hide_psmb=true#reco_item_pos=2&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
3,LG K71 Dual Sim 128 Gb White 4 Gb Ram,R$ 1.670,R$ 1.399,https://produto.mercadolivre.com.br/MLB-1924054808-lg-k71-dual-sim-128-gb-white-4-gb-ram-_JM?hide_psmb=true#reco_item_pos=3&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
4,Fritadeira Elétrica Sem Óleo Agratto Silver 2.5l Preta,R$ 329,R$ 23990,https://produto.mercadolivre.com.br/MLB-1835148441-fritadeira-eletrica-sem-oleo-agratto-silver-25l-preta-_JM?variation=79761942034&hide_psmb=true#reco_item_pos=4&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
5,Smartphone Motorola Moto E7 Tl 6.5 32gb 2gb Ram Aquamarine,R$ 899,R$ 859,https://produto.mercadolivre.com.br/MLB-1774669839-smartphone-motorola-moto-e7-tl-65-32gb-2gb-ram-aquamarine-_JM?variation=73856582842&hide_psmb=true#reco_item_pos=5&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY
6,Cerveja Colorado Appia Garrafa 600ml,R$ 12,R$ 649,https://produto.mercadolivre.com.br/MLB-1881361118-cerveja-colorado-appia-garrafa-600ml-_JM?hide_psmb=true#reco_item_pos=6&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
7,Aquecedor Portátil Elétrico Comfort Air 800w A-09 Mondial,R$ 219,R$ 19791,https://produto.mercadolivre.com.br/MLB-1571975278-aquecedor-portatil-eletrico-comfort-air-800w-a-09-mondial-_JM?variation=58738613889&hide_psmb=true#reco_item_pos=7&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
8,Mop Giratório Fit Balde 8 Litros Mop5010 Flash Limp,R$ 84,R$ 6250,https://produto.mercadolivre.com.br/MLB-1821599100-mop-giratorio-fit-balde-8-litros-mop5010-flash-limp-_JM?variation=78604410589&hide_psmb=true#reco_item_pos=8&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
9,52 Peças Popit Bubble Fidget Sensorial Brinquedos Sensoriais,R$ 196,R$ 12699,https://produto.mercadolivre.com.br/MLB-1870995603-52-pecas-popit-bubble-fidget-sensorial-brinquedos-sensoriais-_JM?variation=90748957186&hide_psmb=true#reco_item_pos=9&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=4b6583f2-b7d5-4d2d-b4e4-aa64f7825351&deal_print_id=cc49244f-973a-4c88-8550-0f60d82a9b52&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=TODAY_PROMOTION
